recipient,reason,rewardToken,rewardAmount,is_match
0x89c1528218f6eac5fda24a550de912b4d802c6d8,base,WETH,29.63239707,True
0xa976ea51b9ba3232706af125a92e32788dc08ddc,base,WETH,63.82993539,False
0x454bec71d10f78b66ccf1bf281b1fe47348d8765,base,WETH,33.89491476,False
0xfd6db5011b171b05e1ea3b92f9eacaeeb055e971,base,WETH,33.16796666,False
0x64811903a4277c2464d7113fab8b7ba771035cdf,base,WETH,17.33082899,False
0x453afe7c8149b1b1e6582094ca54c7588282f1c8,base,WETH,16.82703369,False
0x630fd551ec58a6ea3b65714df737d294a1936ca1,base,WETH,10.12552029,True
0xc92478912779758b8f757230ec816d3a47c52fe2,base,WETH,8.591337737,True
0xaf06acfd1bd492b913d5807d562e4fc3a6343c4e,base,WETH,8.325065362,False
0x3fd49a8f37e2349a29ea701b56f10f03b08f1532,base,WETH,7.430361742,False
0x8494d3428290b903eb89bdf703fbd04551bd4412,base,WETH,6.155542737,False
0x2ee3afb00e0dde92da976930047b0001c9ed2924,base,WETH,6.142363563,False
0x2ce3b548b5f61ba33e210957054e98b7295b13d9,base,WETH,5.068766155,False
0x59a661f1c909ca13ba3e9114bfdd81e5a420705d,base,WETH,4.976279869,False
0x76a523270c95499bcc1fe7061e97a0403e7069e1,base,WETH,4.850265593,True
0x0279431a5e11d234dcf1d4493494db9f06ea42cd,base,WETH,4.142825875,False
0x83e1d994dbc9c0868cd83c7b8c4db2bd2341cb1e,base,WETH,4.09253675,False
0x2178e1d614fefb2b304db58f07116d89f948fda1,base,WETH,3.990274782,False
0x6f6485866fea30d4d11ce869084bcf5da33cf846,base,WETH,3.726914903,True
0xf20b338752976878754518183873602902360704,base,WETH,3.633073726,False
0x69580cd3327f22150e79cff8f70059ac56500198,base,WETH,3.466205637,True
0x05e11de553a95955151d9815ef96ad0cd8daf6de,base,WETH,3.340014966,False
0x3c9ea5c4fec2a77e23dd82539f4414266fe8f757,base,WETH,3.167575388,False
0x4b441cd7c5085d0c255eff3db7ec3417cca1a1a0,base,WETH,3.165699962,False
0xf82d8c60402200114e2d5a8bdc40b1ef8f8ab0de,base,WETH,3.001447768,False
0x8df175aba312ce90aa03f636573ca99c29fbb9d0,base,WETH,2.947315056,False
0xa0f75491720835b36edc92d06ddc468d201e9b73,base,WETH,2.883869921,False
0x6967cef6ff12397c9c760e031b793153139f7a25,base,WETH,2.840122933,False
0xa976ea51b9ba3232706af125a92e32788dc08ddc,makerDAOFren,WETH,2.535009107,False
0x1eab3b222a5b57474e0c237e7e1c4312c1066855,base,WETH,2.513451935,False
0xd0ccdc9cdcbedf20542984b35b5f9c4c56b31152,base,WETH,2.403812095,False
0x46e5a93a6c536f6a1052b7a646715915af14461e,base,WETH,2.387562618,True
0x4bbc507ca4417625e20199644523f4d92df927b1,base,WETH,2.328112266,False
0xe466d6cf6e2c3f3f8345d39633d4a968ec879bd5,base,WETH,2.208469285,False
0x2f08cebbd27b308cf88d2d0493b7583cd2a5da3e,base,WETH,1.88902591,True
0x3bd7c3df5dcf67f3aa314500c683c82dc65671d5,base,WETH,1.842122062,False
0xf24b73a328df29cdde804acf605b8722ad5030da,base,WETH,1.831018448,False
0x2a8b9ebc6b62e09f3b2b896bb004533bb4bfcb40,base,WETH,1.738116253,True
0x9143de83a0c26081f60773f1bcda4c619bbb7ab6,base,WETH,1.640709236,False
0x54be3a794282c030b15e43ae2bb182e14c409c5e,base,WETH,1.637229555,False
0x236f233dbf78341d25fb0f1bd14cb2ba4b8a777c,base,WETH,1.631866181,False
0x12fd31afbf782af2d30985edfa465ad14c1a37df,base,WETH,1.631135124,True
0x8aed8c89e11a05dbb8a5108b8cd4cbc93222fea5,base,WETH,1.62302737,True
0x83f0c6046e6d269950a0ffdc11477b4b69b17738,base,WETH,1.56525241,False
0x6621295a7fadd3ab78ae6915502bd50fdd5a1491,base,WETH,1.549518197,False
0x33cf8a44a07c2ab4db203efb039b1235f02b7377,base,WETH,1.538143673,False
0xfb74196eccf35a260dd5cfd300baa37ae058b6c0,base,WETH,1.401486439,False
0x6d94e1393da07e78995ea7e266dfc20826b88263,base,WETH,1.334960841,False
0xcf05eadfdb008c106a56680aa3cf656801972401,base,WETH,1.272849459,True
0x5a14bd3f2bf84c3690d653f1d40cfb7a8a9b3c26,base,WETH,1.266000656,False
0x07499c08287a6cd6514cace69100916c67631dc7,base,WETH,1.228447456,False
0x92d385172c6ec14ed5a670a8148db3fd70f62a40,base,WETH,1.106292936,False
0x8228b4230fabddc55f81540ccab13e901f199fc9,base,WETH,1.049317763,False
0x0c3a3b04b139411fc851cefce19fdda32e499074,base,WETH,0.928501172,False
0xaa2781c77246875b9bf40315bbef62da49f83250,base,WETH,0.92133131,False
0xd412107354ccd6e103443372946c985f31b09e5c,base,WETH,0.919382348,False
0x78af09a26d7a004c6de020aa5e454d6ed9766356,base,WETH,0.857129871,False
0x9dbe6c723ebb04c0c281d9a180914b0e0ae50a53,base,WETH,0.855840327,False
0xd007058e9b58e74c33c6bf6fbcd38baab813cbb6,base,WETH,0.855721542,False
0xf91dc62ecb1d2cfc6ee72e1e7a27288c20bb5486,base,WETH,0.83782966,False
0xc4f1e164713aed18546fdde94c04712de3bce690,base,WETH,0.826352256,True
0x840cffa2a3a6f56eb2f205a06748a8284b683355,base,WETH,0.826003757,True
0xa62315902faadc69f898cc8b85f86ffd1f6aaed8,base,WETH,0.815138777,False
0xcf36a28d7fee8437bed31d52c551d417e6d707e4,base,WETH,0.807351985,False
0x316f9873a8c06b4bc037e0421bde770b5f1eaa89,base,WETH,0.792507216,False
0x8bfbb36bf3ccf465b6e042eb8a7e0dd245405f8b,base,WETH,0.789029455,False
0xb0449ec1a8a60f95322617d6ed52e1ba1a7beb49,base,WETH,0.784506594,False
0xc59a1a2ed72eb7b31b8eaedab1f6f8d8c8881365,base,WETH,0.780293211,False
0x15e7e224dcfa4dba59f342f01c70007b8a8f4aa0,base,WETH,0.77124101,False
0xe4c8f205aa7a53a3479429913be832294d47297a,base,WETH,0.746136525,False
0xcf4b852afd66519653f97ecf35ef7dd38f9dfa4e,base,WETH,0.741151383,False
0xcde43769f216a1618d0cdfbf748fdd90969f29d8,base,WETH,0.723223463,False
0x3b8247040a6627aba98d9d9905870c44d91dd80d,base,WETH,0.718075981,False
0x5d8cca5e1b6983db986cf82784108478a02d0782,base,WETH,0.711512627,False
0xec04880883cc6ce406b125975604a36ccd83379d,base,WETH,0.705747926,False
0x310a2c115d3d45a89b59640fff859be0f54a08e2,base,WETH,0.702946248,False
0x0db87155511f190034a2b73d98f699bfebfbd85f,base,WETH,0.700182109,False
0xd9134681c2c1b77c0422a7969f6a6ff95a4552a7,base,WETH,0.694715523,True
0xde01051a9f9343252e7a74219296c4387378fa68,base,WETH,0.66155799,False
0xf48aeffdb19be3753c3185088c869a95db5a3edc,base,WETH,0.645501418,True
0xe6253ef9b67f6ecd0202ad1f90f25a13282932ff,base,WETH,0.617288961,True
0x2f881f41af772808b848c382370710dca0415bf9,base,WETH,0.611191999,True
0x7aa61e5fdef15599d2e8cba9b8900d2152e3d3e9,base,WETH,0.590911278,False
0x34b04f05ecabae366bc20ad611aa5718a5b2143b,base,WETH,0.549579626,True
0x0a421aea6ee6469deffca736e5864f92ea398336,base,WETH,0.52326649,False
0x6451878ebd7dd53250c800bba2edfe6941e81d29,base,WETH,0.506163497,False
0x6967c9a1a6e7057cefb79cbb5bc23b234ae6cf3a,base,WETH,0.496639493,True
0x77fc6e36d82010b2263b76959720e9ee2c947467,base,WETH,0.496298244,False
0xe84a061897afc2e7ff5fb7e3686717c528617487,base,WETH,0.485769417,False
0xaaa900e3b0b4564842c10a9751a2a117b60db1e4,base,WETH,0.481498232,False
0xe831c8903de820137c13681e78a5780afddf7697,base,WETH,0.450805324,False
0xe59b150ab850ce59c3be44aaa963fd5239d658f6,base,WETH,0.450141309,False
0x8c0fcf914e90ff5d7f2d02c1576bf4245fad2b7f,base,WETH,0.437025715,False
0xdd8e2dd11d38b3e27ad4d7349a61b5c2b5af427a,base,WETH,0.435618465,False
0x0d152ff760c1eae784972b31f01bcd92f5818f5c,base,WETH,0.425127771,True
0xbbe3188a1e6bfe7874f069a9164a923725b8bd68,base,WETH,0.421528864,False
0x4c406c068106375724275cbff028770c544a1333,base,WETH,0.399813188,False
0xc03125cd35631a9dbbd459b56404eba99fb606b4,base,WETH,0.399788273,True
0xe3272b584264680d3ffd44763d78fe3b07b728d7,base,WETH,0.397270761,False
0x6a704a0e46dcc67a6316644372e261e8fb6f658c,base,WETH,0.388196694,False